video_id,predictions,answers,prediction_time_seconds,correctPredictions,totalPredictions,totalAnswers
Y-0BIyqJj9ZU,"Laughter; Baby laughter; Belly laugh; Snicker; Giggle; Chuckle, chortle; Speech","Baby laughter; Belly laugh; Chuckle, chortle",0.618,3,7,3
Y-0CamVQdP_Y,Music; Speech; Mandolin; Musical instrument,"Speech; Walk, footsteps; Music",0.520,2,4,3
Y-0Gj8-vB1q4,Music; Sad music; Lullaby; Singing,Music; Theme music; Christmas music,0.661,1,4,3
Y-0jeONf82dE,"Horse; Neigh, whinny; Speech; Animal; Music; Clip-clop; Outside, rural or natural","Speech; Animal; Horse; Neigh, whinny; Music",0.655,5,7,5
Y-0nqfRcnAYE,"Speech; Dishes, pots, and pans; Cutlery, silverware; Coin (dropping); Inside, small room","Dishes, pots, and pans",0.663,1,5,1
Y-0p7hKXZ1ww,"Speech; Outside, rural or natural; Animal",Speech; Firecracker,0.681,1,3,2
Y-0RWZT-miFs,"Keys jangling; Speech; Vehicle; Car; Power windows, electric windows",Car; Keys jangling,0.671,2,5,2
Y-0vPFx-wRRI,Music; Speech; Finger snapping; Clapping; Vocal music,Finger snapping; Music,0.650,2,5,2
Y-0xzrMun0Rs,Music; Musical instrument,Stomach rumble; Music,0.681,1,2,2
Y-0yRK50zyTI,Speech,Speech; Crackle,0.681,1,1,2
Y-0YUDn-1yII,Music; Vehicle; Car; Scary music,Music; Theme music,0.643,1,4,2
Y-1EXhfqLLwQ,"Water; Toilet flush; Gush; Bathtub (filling or washing); Water tap, faucet; Fill (with liquid)","Animal; Domestic animals, pets; Water; Bathtub (filling or washing); Gush; Fill (with liquid); Pump (liquid)",0.661,4,6,7
Y-1hDIl9Udkw,Speech; Music; Vehicle,Speech; Rattle; Music,0.661,2,3,3
Y-1Hub6Ps_cc,"Water tap, faucet; Speech; Water; Sink (filling or washing); Fill (with liquid); Frying (food); Inside, small room; Liquid","Speech; Hands; Water tap, faucet; Sink (filling or washing); Inside, small room",0.698,4,8,5
Y-1II0Di9Hkc,Music; Singing; Guitar; Musical instrument,Music; Radio,0.707,1,4,2
Y-1LQP2wemiQ,"Speech; Dial tone; Busy signal; Telephone; Telephone dialing, DTMF","Speech; Female speech, woman speaking; Beep, bleep",0.631,1,5,3
Y-1nilez17Dg,"Heart sounds, heartbeat; Heart murmur; Speech; Throbbing",Speech; Heart murmur,0.641,2,4,2
Y-1OlgJWehn8,Music; Singing; Guitar; Musical instrument,Music; Radio,0.644,1,4,2
Y-1pPw9zZopA,"Speech; Toilet flush; Fill (with liquid); Water; Inside, small room",Water; Toilet flush,0.697,2,5,2
Y-1pRmoJIGQc,Vehicle; Engine; Idling; Car; Truck; Speech; Vibration; Light engine (high frequency),Engine; Engine knocking; Idling,0.616,2,8,3
Y-1PZQg5Gi8A,Music; Speech; Brass instrument; Trombone; Trumpet; Musical instrument,"Smash, crash",0.665,0,6,1
Y-1UWSisR2zo,Music; Speech; Electronic music; Techno; Singing; Crowd; Disco; Pop music,Music; Maraca,0.698,1,8,2
Y-2EKWgTNEYU,"Vehicle; Vehicle horn, car horn, honking; Air horn, truck horn; Car; Train; Railroad car, train wagon; Rail transport; Outside, urban or manmade",Radio,0.710,0,8,1
Y-2sE5CH8Wb8,Vehicle; Truck; Reversing beeps; Emergency vehicle; Printer,Vehicle; Truck; Reversing beeps,0.680,3,5,3
Y-2xiZDEuHd8,"Music; Speech; Grunt; Burping, eructation; Roar",Speech; Oink; Music,0.688,2,5,3
Y-3-4qmWSJXU,Rain; Thunder; Thunderstorm; Rain on surface; Raindrop,Thunderstorm; Thunder; Rain; Rain on surface,0.637,4,5,4
